Date,Open,High,Low,Close,Adj Close,Volume,DAX_formula,counter
4/22/2015,225.75,228.399994,223.550003,225.850006,148.749863,82987,11867.37012,-105
4/23/2015,227.399994,227.75,221.800003,226.100006,148.914536,100993,11723.58008,-104
4/24/2015,227.899994,231.350006,226.550003,231.199997,152.273453,105131,11810.84961,-103
4/27/2015,242,243.899994,236.5,241.5,159.057281,171660,12039.16016,-102
4/28/2015,240.399994,244,234.899994,236.449997,155.731232,132179,11811.66016,-101
4/29/2015,241,241.100006,227.5,227.899994,150.100021,104491,11432.71973,-100
4/30/2015,228,229.699997,224.300003,227.300003,149.704849,78977,11454.37988,-99
05/04/2015,229,230.050003,224.25,227.449997,149.803635,50799,11619.84961,-98
05/05/2015,227,231.899994,224.550003,225.100006,148.255875,75494,11327.67969,-97
05/06/2015,221.5,222.899994,213.050003,217.600006,146.438843,103595,11350.15039,-96
05/07/2015,215.5,222.5,215.5,220.600006,148.457779,92932,11407.96973,-95
05/08/2015,223.600006,226.050003,220.449997,225.350006,151.654404,97421,11709.73047,-94
05/11/2015,224.050003,225.600006,223.850006,225.350006,151.654404,81298,11673.34961,-93
05/12/2015,225.050003,225.199997,217.550003,218.350006,146.943588,125438,11472.41016,-92
5/13/2015,220.850006,222.350006,216.600006,218.149994,146.80899,110344,11351.45996,-91
5/14/2015,216.899994,220.949997,213.100006,220.949997,148.693298,61234,11559.82031,-90
5/15/2015,222.800003,222.850006,214,215.300003,144.891037,79419,11447.03027,-89
5/18/2015,218.149994,224,215.5,223.050003,150.106537,94301,11594.28027,-88
5/19/2015,225.949997,233,225.649994,232.75,156.634369,94059,11853.33008,-87
5/20/2015,232.199997,233.399994,229.949997,231.850006,156.028732,58772,11848.46973,-86
5/21/2015,231.449997,231.600006,226.550003,229.600006,154.514542,63230,11864.58984,-85
5/22/2015,228.199997,230,227.149994,229.550003,154.480881,43471,11815.00977,-84
5/26/2015,230.5,232.850006,224.800003,226.25,152.260071,77554,11625.12988,-83
5/27/2015,226.5,228.949997,224,228.050003,153.471436,71236,11771.12988,-82
5/28/2015,228,228.050003,222.399994,223.949997,150.71225,62976,11677.57031,-81
5/29/2015,225.399994,226,219.5,219.5,147.717499,535156,11413.82031,-80
06/01/2015,221.899994,222.350006,217.050003,219.550003,147.751129,62328,11436.04981,-79
06/02/2015,220.75,220.75,214.25,215.350006,144.924667,73355,11328.79981,-78
06/03/2015,215.699997,220.050003,214.399994,216.25,145.53035,78614,11419.62012,-77
06/04/2015,216,217.800003,212.149994,215.5,145.02562,52623,11340.59961,-76
06/05/2015,215.399994,215.449997,211.75,213.300003,143.54509,56617,11197.15039,-75
06/08/2015,213,214.449997,208.800003,209.800003,141.189667,82653,11064.91992,-74
06/09/2015,209.75,210.600006,205.050003,208.550003,140.348465,103894,11001.29004,-73
06/10/2015,209.5,215.350006,207.25,214.850006,144.588181,93300,11265.38965,-72
06/11/2015,213.100006,217.449997,213.100006,215.300003,144.891037,62037,11332.78027,-71
06/12/2015,214.350006,217,209.449997,212.199997,142.804794,63149,11196.49023,-70
6/15/2015,209.199997,209.899994,205.300003,207.649994,139.742767,64987,10984.96973,-69
6/16/2015,207,208.850006,204.149994,208.149994,140.079254,55667,11044.00977,-68
6/17/2015,209.449997,209.649994,204.300003,206.199997,138.766968,68477,10978.00977,-67
6/18/2015,205.350006,206.350006,201.399994,205.75,138.464127,105481,11100.29981,-66
6/19/2015,208,209.699997,205.399994,206.350006,138.867905,75399,11040.09961,-65
6/22/2015,211.850006,215.850006,211.300003,215.449997,144.991943,79045,11460.5,-64
6/23/2015,216.949997,219.899994,215.949997,218.350006,146.943588,80142,11542.54004,-63
6/24/2015,218.449997,218.5,213.100006,215.75,145.193848,63984,11471.25977,-62
6/25/2015,213.050003,217.850006,212.5,215.949997,145.328461,43098,11473.12988,-61
6/26/2015,216.5,218.699997,214.050003,217.350006,146.270615,49485,11492.42969,-60
6/29/2015,207.550003,213.399994,203.850006,209.399994,140.920486,102072,11083.2002,-59
6/30/2015,208.850006,211.550003,205.850006,207.550003,139.675476,96141,10944.96973,-58
07/01/2015,210.300003,216.300003,208.699997,214.649994,144.453568,101590,11180.5,-57
07/02/2015,216.199997,216.199997,210.850006,211.449997,142.300079,54403,11099.34961,-56
07/03/2015,212.75,212.75,209.600006,210.800003,141.86264,32396,11058.38965,-55
07/06/2015,207.399994,210.100006,206.75,208.25,140.146545,48412,10890.62988,-54
07/07/2015,208.550003,209.149994,202.399994,202.949997,136.579803,85174,10676.78027,-53
07/08/2015,202.550003,202.949997,197.199997,197.5,132.912109,128999,10747.29981,-52
07/09/2015,199.75,205,199.600006,203.449997,136.91629,69038,10996.41016,-51
07/10/2015,209.25,209.25,201.949997,203.399994,136.882645,110529,11315.62988,-50
7/13/2015,205.899994,209.399994,204,205.75,138.464127,83854,11484.37988,-49
7/14/2015,204.899994,204.899994,198.5,201.5,135.604004,101647,11516.90039,-48
7/15/2015,200.699997,200.699997,197.399994,199.149994,134.022507,96378,11539.66016,-47
7/16/2015,201.399994,205.25,198.300003,203.149994,136.714417,99861,11716.75977,-46
7/17/2015,204.699997,204.699997,201.850006,202.699997,136.41156,81615,11673.41992,-45
