Price,Close,High,Low,Open,Volume
Ticker,NAS.OL,NAS.OL,NAS.OL,NAS.OL,NAS.OL
Date,,,,,
2020-08-17,60.43602752685547,60.78958363009929,55.81769957481503,56.10496345756128,552705
2020-08-18,57.45289611816406,61.342016894649355,56.45852002082802,61.342016894649355,657776
2020-08-19,57.099342346191406,58.53566543945575,56.34803649224289,57.452898466768936,383734
2020-08-20,57.4087028503418,57.541287293209756,55.7072145305858,57.36450923909076,270239
2020-08-21,55.81769943237305,57.67386716510892,55.044295007361505,57.45289550342413,447193
2020-08-24,55.176876068115234,56.34803381996227,54.22669358798572,56.259642989452296,380247
2020-08-25,55.66301727294922,56.08286560234007,55.04429588850443,55.44204560772714,535306
2020-08-26,54.88961410522461,56.25964495769878,54.18250187286567,55.773504395673285,339344
2020-08-27,54.80122756958008,55.022199242691094,53.47539031268404,54.97800562989189,278797
2020-08-28,49.586273193359375,53.718460821581836,48.76867150301973,53.03344718842468,885366
2020-08-31,53.630069732666016,55.90608951363083,50.006121302816254,50.73532854550622,960820
2020-09-01,46.84621047973633,53.03344609850262,45.96231658352836,53.03344609850262,1196521
2020-09-02,44.43760681152344,47.42073882120772,44.194536528577686,46.846211030125914,895719
2020-09-03,49.71885299682617,50.86791217428835,45.034232671964844,45.034232671964844,988708
2020-09-04,46.912498474121094,49.9398276299918,46.404262919168595,49.71885235429888,611938
2020-09-07,48.083656311035156,48.63608547821556,46.93459714689316,48.172043534138076,268293
2020-09-08,46.58103942871094,48.923351287711746,46.47055359908779,48.238334091287605,295892
2020-09-09,46.05070495605469,47.28815129186146,45.5203708121375,46.691524928815284,229551
2020-09-10,46.07280349731445,46.89040151683798,46.07280349731445,46.55894403079808,180957
2020-09-11,46.16119384765625,48.48140723465625,45.76344411560667,46.183292458537046,355717
2020-09-14,46.27167892456055,47.2881536534435,45.564566697357606,46.69152726060166,313207
2020-09-15,46.29377746582031,46.64733357889284,45.7413446857264,46.382164689531,209594
2020-09-16,45.630859375,46.58104189092211,45.52037353953672,46.31587660763323,224551
2020-09-17,46.16119384765625,46.757820250288106,45.69715189207924,45.69715189207924,307750
2020-09-18,45.18891143798828,46.49265365170552,44.879552549087435,46.40426281979466,373869
2020-09-21,44.81325912475586,46.89040211409468,44.7248682952172,46.40426157441894,386136
2020-09-22,44.94584655761719,45.100526008217074,44.194537088407735,45.07843100619709,266160
2020-09-23,44.19453430175781,45.12262177418234,44.19453430175781,44.813259283374165,312663
2020-09-24,42.20578384399414,44.94584554362553,41.00369232949356,44.19453609136585,467110
2020-09-25,38.3343391418457,42.868701045431756,35.35562842593322,42.42675411111986,848253
2020-09-28,40.429161071777344,41.54286536573038,38.76744876698169,39.28010549709326,505102
2020-09-29,40.658973693847656,41.56054139989144,38.891189561291164,40.45567947501909,338326
2020-09-30,41.54286575317383,41.54286575317383,39.61598453833265,41.54286575317383,268598
